cuisine_column
8:15 To 11:30 Pm
Afghani
African
American
Andhra
Arabian
Asian
Assamese
Attractive Combos Available
Australian
Awadhi
BEVERAGE
Bakery
Bakery products
Bangladeshi
Barbecue
Bengali
Beverages
Bhutanese
Bihari
Biryani
Biryani - Shivaji Military Hotel
Bowl Company
British
Burgers
Burmese
Cafe
Chaat
Chettinad
Chinese
Coastal
Code valid on bill over Rs.99
Combo
Continental
Default
Desserts
Discount offer from Garden Cafe Express Kankurgachi
European
Fast Food
Free Delivery ! Limited Stocks!
French
German
Goan
Greek
Grill
Grocery products
Gujarati
Haleem
Healthy Food
Home Food
Hyderabadi
Ice Cream
Ice Cream Cakes
Indian
Indonesian
Italian
Italian-American
Jain
Japanese
Juices
Kashmiri
Kebabs
Kerala
Keto
Khasi
Konkan
Korean
Lebanese
Lucknowi
MAX 2 Combos per Order!
Maharashtrian
Malaysian
Malwani
Mangalorean
Meat
Mediterranean
Mexican
Middle Eastern
Mongolian
Mughlai
Naga
Navratri Special
Nepalese
North Eastern
North Indian
Oriental
Oriya
Paan
Pan-Asian
Parsi
Pastas
Persian
Pizzas
Popular Brand Store
Portuguese
Punjabi
Rajasthani
Rayalaseema
SVANidhi Street Food Vendor
Salads
Seafood
Sindhi
Singaporean
Snacks
South American
South Indian
Spanish
Special Discount from (Hotel Swagath)
Sri Lankan
Steakhouse
Street Food
Sushi
Sweets
Tandoor
Telangana
Tex-Mex
Thai
Thalis
Tibetan
Tribal
Turkish
Use Code JUMBO30 to avail
Use code XPRESS121 to avail.
Vietnamese
Waffle
indian
